Squadra,Giocatore,Ruolo,Valutazione
Atalanta,Marco Carnesecchi,POR,85
Atalanta,Charles De Ketelaere,COC,82
Atalanta,Éderson,CC,82
Atalanta,Marten de Roon,CC,81
Atalanta,Berat Djimsiti,DC,79
Atalanta,Davide Zappacosta,ED,79
Atalanta,Sead Kolašinac,DC,78
Atalanta,Giacomo Raspadori,COC,78
Atalanta,Giorgio Scalvini,DC,78
Atalanta,Nikola Krstović,ATT,76
Atalanta,Lorenzo Bernasconi,ES,70
Atalanta,Odilon Kossounou,DC,80
Atalanta,Mario Pašalić,CC,79
Atalanta,Gianluca Scamacca,ATT,78
Atalanta,Isak Hien,DC,78
Atalanta,Raoul Bellanova,ED,77
Atalanta,Lazar Samardžić,COC,77
Atalanta,Nicola Zalewski,ES,77
Atalanta,Marco Sportiello,POR,76
Atalanta,Mitchel Bakker,TS,75
Atalanta,Honest Ahanor,DC,72
Atalanta,Relja Obrić,DC,65
Atalanta,Francesco Rossi,POR,62
Atalanta,Yunus Musah,CC,73
Atalanta,Kamaldeen Sulemana,COC,73
Atalanta,Dominic Vavassori,ATT,62
Bologna,Remo Freuler,CDC,82
Bologna,Łukasz Skorupski,POR,78
Bologna,Lewis Ferguson,CDC,78
Bologna,João Mário,TD,77
Bologna,Santiago Castro,ATT,77
Bologna,Jhon Lucumí,DC,76
Bologna,Juan Miranda,TS,76
Bologna,Federico Bernardeschi,ED,75
Bologna,Jonathan Rowe,ES,75
Bologna,Simon Sohm,COC,74
Bologna,Eivind Helland,DC,67
Bologna,Riccardo Orsolini,ED,83
Bologna,Jens Odgaard,COC,77
Bologna,Nicolò Cambiaghi,ES,76
Bologna,Nikola Moro,CDC,75
Bologna,Thijs Dallinga,ATT,75
Bologna,Nicolò Casale,DC,74
Bologna,Torbjørn Heggem,DC,74
Bologna,Tommaso Pobega,CC,74
Bologna,Martin Vitík,DC,74
Bologna,Nadir Zortea,TD,73
Bologna,Federico Ravaglia,POR,72
Bologna,Massimo Pessina,POR,54
Bologna,Charalampos Lykogiannis,TS,73
Bologna,Benjamín Domínguez,ES,73
Bologna,Lorenzo De Silvestri,TD,71
Cagliari,Elia Caprile,POR,78
Cagliari,Yerry Mina,DC,76
Cagliari,Sebastiano Esposito,ATT,75
Cagliari,Marco Palestra,TD,75
Cagliari,Gianluca Gaetano,CDC,73
Cagliari,Michel Ndary Adopo,CC,73
Cagliari,Adam Obert,TS,73
Cagliari,Zé Pedro,DC,73
Cagliari,Juan Rodríguez,DC,71
Cagliari,Alessandro Deiola,CC,70
Cagliari,Gennaro Borrelli,ATT,69
Cagliari,Michael Folorunsho,CC,74
Cagliari,Semih Kılıçsoy,ATT,74
Cagliari,Luca Mazzitelli,CC,73
Cagliari,Alberto Dossena,DC,73
Cagliari,Gabriele Zappa,TD,73
Cagliari,Ibrahim Sulemana,CDC,73
Cagliari,Mattia Felici,ES,72
Cagliari,Alen Sherri,POR,66
Cagliari,Othniël Raterink,TD,62
Cagliari,Paul Mendy,ATT,62
Cagliari,Giuseppe Ciocci,POR,59
Cagliari,Vincenzo Sarno,POR,52
Cagliari,Andrea Belotti,ATT,74
Cagliari,Agustín Albarracín,AS,69
Cagliari,Riyad Idrissi,TS,69
Cagliari,Leonardo Pavoletti,ATT,67
Cagliari,Joseph Liteta,CC,66
Cagliari,Yael Trepy,ATT,62
Como,Nico Paz,COC,82
Como,Jean Butez,POR,78
Como,Jesús Rodríguez,ES,77
Como,Lucas Da Cunha,CDC,76
Como,Tasos Douvikas,ATT,76
Como,Máximo Perrone,CDC,76
Como,Assane Diao,ED,76
Como,Ivan Smolčić,TD,75
Como,Marc-Oliver Kempf,DC,75
Como,Jacobo Ramón,DC,74
Como,Álex Valle,TS,74
Como,Morata,ATT,79
Como,Diego Carlos,DC,79
Como,Martin Baturina,COC,79
Como,Maxence Caqueret,CC,78
Como,Sergi Roberto,CDC,76
Como,Mërgim Vojvoda,TD,76
Como,Alberto Moreno,TS,75
Como,Noel Törnqvist,POR,73
Como,Ignace Van der Brempt,TD,72
Como,Nikola Čavlina,POR,67
Como,Mauro Vigorito,POR,64
Como,Henrique Menke,POR,58
Como,Nicolas Kühn,AD,77
Como,Edoardo Goldaniga,DC,72
Como,Jayden Addai,ED,70
Como,Adrian Lahdo,CC,60
Cremonese,Emil Audero,POR,79
Cremonese,Jamie Vardy,ATT,75
Cremonese,Sebastiano Luperto,DC,75
Cremonese,Alessio Zerbin,ED,73
Cremonese,Jari Vandeputte,ES,72
Cremonese,Federico Bonazzoli,ATT,72
Cremonese,Matteo Bianchetti,DC,71
Cremonese,Giuseppe Pezzella,TS,71
Cremonese,Youssef Maleh,CC,71
Cremonese,Filippo Terracciano,TD,71
Cremonese,Alberto Grassi,CC,70
Cremonese,Antonio Sanabria,ATT,75
Cremonese,Federico Baschirotto,DC,75
Cremonese,Martín Payero,CC,73
Cremonese,Marco Silvestri,POR,72
Cremonese,Morten Thorsby,CC,72
Cremonese,Federico Ceccherini,DC,71
Cremonese,Warren Bondo,CC,71
Cremonese,Tommaso Barbieri,TD,71
Cremonese,Romano Floriani Mussolini,ED,69
Cremonese,Mikayil Faye,DC,68
Cremonese,Francesco Folino,DC,65
Cremonese,Lapo Nava,POR,60
Cremonese,David Okereke,ATT,72
Cremonese,Faris Pemi Moumbagna,ATT,72
Cremonese,Michele Collocolo,CC,72
Cremonese,Milan Đurić,ATT,70
Cremonese,Simone Lottici Tessadri,CC,58
Fiorentina,De Gea,POR,84
Fiorentina,Moise Kean,ATT,83
Fiorentina,Robin Gosens,TS,79
