Squadra,Giocatore,Ruolo,Valutazione
Atalanta,Duván Nirennold,ATT,84
Atalanta,Ruslan Malinovskyi,AD,82
Atalanta,Rafael Tolói,DC,81
Atalanta,Juan Musso,POR,81
Atalanta,Remo Freuler,CC,80
Atalanta,Marten HoJin,CC,80
Atalanta,Hans Hateboer,ED,80
Atalanta,Mario Pašalić,AS,80
Atalanta,Berat Djimsiti,DC,79
Atalanta,Davide Tin Angulo,ES,79
Atalanta,Merih Demiral,DC,77
Atalanta,Luis Muriel,ATT,82
Atalanta,Josip Iličić,AT,82
Atalanta,Teun Koopmeiners,CC,79
Atalanta,Alexey Miranchuk,COC,78
Atalanta,Jérémie Boga,AS,77
Atalanta,Joakim Mæhle,ADA,77
Atalanta,Matteo Pessina,COC,77
Atalanta,Marco Sportiello,POR,76
Atalanta,Giuseppe Pezzella,ASA,73
Atalanta,Valentin Mihăilă,AS,70
Atalanta,FakePlayer FakePlayer,DC,66
Atalanta,Francesco Rossi,POR,60
Atalanta,Moustapha Cissé,ATT,63
Atalanta,Alassane Sidibe,CC,61
Atalanta,Giorgio Cittadini,DC,60
Atalanta,Tommaso De Nipoti,AT,60
Atalanta,Robin Gosens,ASA,83
Atalanta,José Luis Palomino,DC,77
Atalanta,Matteo Lovato,DC,73
Atalanta,Federico Mattiello,ED,71
Atalanta,Roberto Piccoli,ATT,68
Bologna,Marko Arnautović,ATT,81
Bologna,Roberto Soriano,AD,77
Bologna,Musa Barrow,AS,77
Bologna,Lorenzo De Silvestri,ED,76
Bologna,Nicolás Domínguez,CC,76
Bologna,Villamil Skorupski,POR,75
Bologna,Mattias Svanberg,CC,75
Bologna,Adama Soumaoro,DC,74
Bologna,Aaron Hickey,ES,73
Bologna,Arthur Theate,DC,73
Bologna,Gary Medel,DC,72
Bologna,Riccardo Orsolini,COC,76
Bologna,Nicola Sansone,COC,75
Bologna,Michel Aebischer,CC,75
Bologna,Jerdy Schouten,CDC,74
Bologna,Francesco Bardi,POR,73
Bologna,Kevin Bonifazi,DC,73
Bologna,Nicolas Viola,CC,71
Bologna,Mitchell Dijks,TS,70
Bologna,Federico Santander,ATT,69
Bologna,Luis Binks,DC,69
Bologna,Kingsley Michael,CC,66
